Date,Return_1d,Return_5d,Vol_20,Momentum_Accel,MomentumRiskAdj,Trend_Strength,Volume_Z,Relative_Return,Relative_Momentum,Rolling_MaxDD,Ticker
2026-08-25,-0.0014178077160482,-0.0004193300110453,0.0200140002688137,0.0883244769385239,-4.434086205832898,-0.007075462062089,-1.0664243663021775,-0.0001235148011429,-0.0957721673241361,-0.1270622359121008,AAPL
2026-08-25,0.0067084897602047,-0.0078857265278883,0.0215522027427879,-0.0292891581142628,0.9930971255566736,-0.0221634467463276,-0.1559332632095389,0.0080027826751101,0.0143750712118075,-0.206765766358858,ADI
2026-08-25,0.0491078110033527,-0.0107558409857757,0.0477088324831758,-0.0647789764008006,1.1323507927326666,-0.0537857716269307,-0.5935263095493061,0.050402103918258,0.046994775040458,-0.2605394683907095,AMD
2026-08-25,-0.0038539693112441,0.0062053778215964,0.0396439308247393,-0.1246098212964788,3.299753407315708,0.0469403843901472,-0.739838177408581,-0.0025596763963388,0.1237868387435083,-0.1757882034058412,AMZN
2026-08-25,-0.0056305593607538,-0.0612105520148026,0.0286167552263235,0.0022427918075209,-2.2173492802777903,-0.0167372115830878,-0.3046182117673645,-0.0043362664458485,-0.0704817041968904,-0.2592146836208625,AVGO
2026-08-25,0.0167250221893426,-0.0414375155535988,0.0222696870755769,0.0325972058944454,-3.324461536991069,-0.0304304553087352,0.4020463874750967,0.018019315104248,-0.0810630818226112,-0.1822006223388552,CCL
2026-08-25,0.045918272396396,-0.0596872971461885,0.0827475747519722,-0.2438405560135215,2.225482223422645,-0.0496338502909944,-1.226211358106794,0.0472125653113013,0.177124898492766,-0.4798425930983051,COHR
2026-08-25,-0.0161197510597069,0.0486897271412034,0.0267852251476008,-0.0845885232246712,4.975812025309803,0.1424270531345774,-0.7140037539542307,-0.0148254581448016,0.1262498899913078,-0.2837786701063004,CRM
2026-08-25,-0.015756546388027,-0.0284339746637657,0.0167043007982209,-0.0940592941990584,3.9286478613719686,0.0858141762307987,0.0585487771498396,-0.0144622534731216,0.0585969591607258,-0.186322474086093,CVX
2026-08-25,0.0014357145478256,0.0014357145478256,0.0220821670338404,0.0689490986592163,-3.0573711787686704,-0.0028459736779363,-0.6476708246728091,0.0027300074627309,-0.0745417444859576,-0.2339449972729509,F
2026-08-25,-0.0036274993856011,0.0060360922584448,0.0233426405592113,-0.0262549180761502,1.383348592004252,-0.0211811866435181,-0.6132709808788563,-0.0023332064706957,0.0252626499600281,-0.2022353911360906,GOOG
2026-08-25,-0.0031603922060315,0.0080185332660209,0.0240946330476493,-0.0316866009501466,1.6478828496688165,-0.0182101427532075,-0.596104506148372,-0.0018660992911262,0.0326767738416007,-0.2109433056126816,GOOGL
2026-08-25,-0.0239677102354725,-0.0248124816542887,0.021858202759282,-0.107105140395717,3.764840864679138,0.0140796977415169,-0.4003237884028762,-0.0226734173205671,0.0752642983668614,-0.2743136140937533,HAL
2026-08-25,-0.0055060572252305,-0.040652220695341,0.0236949359348049,-0.0003966670558364,-1.6989095075570402,-0.0154969354467734,-0.99574756761792,-0.0042117643103252,-0.0472839140140715,-0.1701532438187472,HUBB
2026-08-25,0.0025212149360214,-0.0952528581230914,0.0457299247947165,-0.1089260940842545,0.2989997408380409,-0.1034445949172164,-0.988600525951223,0.0038155078509267,0.0066448755865962,-0.4190435941885386,INTC
2026-08-25,0.0097482455376638,-0.0587812379634046,0.0400678502483455,-0.0196826709060261,-0.9758089300831404,-0.1060587281442959,-0.64094351460042,0.0110425384525691,-0.0461269274319453,-0.4359152588198393,KLAC
2026-08-25,-0.0362436634018973,-0.005713808024282,0.0243202971562772,0.0108254029864968,-0.68005790490319,0.013310189243713,1.6502992691403044,-0.0349493704869919,-0.0235675713853457,-0.3697393527347147,LULU
2026-08-25,-0.0095674315217881,-0.0599821242481841,0.0451315569326715,-0.0307918044595539,-0.6467828970623416,-0.0768415102451216,-1.1461546309632484,-0.0082731386068828,-0.036218680163197,-0.3065487367243567,MCHP
2026-08-25,0.0197309002832628,0.0485220919161393,0.0301089616898371,0.0878877689501397,-1.3074404933680326,-0.0474820202217264,-0.962524442691811,0.0210251931981682,-0.0463940374085672,-0.2115750421298153,META
2026-08-25,0.0483667491883972,0.1128703929759837,0.0587529164127575,-0.2649023083535344,6.429854345368884,-0.0059224073391057,-0.3184789966316079,0.0496610421033025,0.3707443409549513,-0.4836140767986353,MRVL
2026-08-25,0.0090291476032262,0.0209289007538435,0.0380100274877414,-0.2291282590919292,6.578715402079177,0.1501583040943658,-0.7045429803056358,0.0103234405181316,0.2430287994712059,-0.2338443607454554,MSFT
2026-08-25,0.0247575082199325,-0.0082805805748915,0.0603743156651167,-0.1453138851360926,2.2697284562456423,-0.0116628484827105,-1.322168286290511,0.0260518011348378,0.1300049441866342,-0.3910478556320163,MU
2026-08-25,0.0023229336307999,-0.0198750919556464,0.0353609850796399,0.1667412705614102,-5.277464890169063,-0.0791665805597783,-0.7060928082553902,0.0036172265457052,-0.1936447228916235,-0.2358576668932223,NCLH
2026-08-25,0.0277465461996013,0.0573486808072893,0.0203871967781217,-0.0785817522670373,6.667440741669693,0.0553580326253626,-0.2815302462498029,0.0290408391145067,0.1289020726997598,-0.3422395312767305,NFLX
2026-08-25,-0.0311656554052435,-0.0144783277876118,0.0203608917287644,0.0684484958614558,-4.0728481188801,-0.0447819876639542,1.5626345656755052,-0.0298713624903381,-0.0899551840236345,-0.2264284364666983,NKE
2026-08-25,-0.0081999455426283,0.0628504667377485,0.0316703734241214,-0.0852239939991823,4.67548816297389,0.1407313788012088,-0.9585146038399908,-0.006905652627723,0.1410461003623639,-0.3410864401523812,NOW
2026-08-25,0.0219206035009291,-0.0304450817974262,0.0224023141354708,-0.1118623143854169,3.6343222606969823,0.0538462794302098,0.3418524763010018,0.0232148964158345,0.0743888722134238,-0.1939849407005048,NVDA
2026-08-25,0.0103848117840326,-0.0166695729755466,0.0298006263741604,0.1159716579786436,-4.450954313438404,-0.132502656885376,-1.1431677770665465,0.0116791046989379,-0.1396695913287571,-0.3261490692859169,NXPI
2026-08-25,0.0080634203891829,-0.0870057440446627,0.0317585985509863,0.0537691977652693,-4.432655841260478,-0.1426172903157114,-0.779892292150846,0.0093577133040883,-0.147803302184499,-0.4629283637810354,ON
2026-08-25,0.0162161994249327,0.013796493545283,0.0368572212740149,-0.1929390483989927,5.609091765171585,0.0215332571529499,-1.310866660222693,0.0175104923398381,0.1997071815697089,-0.5366109180250977,ORCL
2026-08-25,0.0138045274198996,0.0303030821983785,0.0168829236519227,-0.0023178346355385,1.93218399693574,0.025037488411033,-1.0909459937108408,0.015098820334805,0.0255925564593502,-0.1331186072975796,PCG
2026-08-25,0.093545666386539,0.0280673413884866,0.0653702589584172,-0.3237779328855577,5.382344731348122,0.2252746933778326,-0.2132873867671446,0.0948399593014444,0.3448169138994774,-0.5250149333579892,SMCI
2026-08-25,0.0041929262945699,-0.0936456876720805,0.0539985202718254,-0.2364181799556017,2.6440074454041564,0.0258888620036811,-0.8534622831197032,0.0054872192094752,0.1357441319089543,-0.3398437374345365,TER
2026-08-25,0.0037254269880853,0.0397186008749694,0.0251831250807864,-0.0995280723576483,5.529364098242609,-0.0530833327408411,-0.5312481106414383,0.0050197199029906,0.1322183128580509,-0.3300244465497562,TSLA
2026-08-25,0.0338117810830649,-0.0110343458989562,0.0282772686705539,0.0403512334292736,-1.8172044163704897,-0.0375580767118633,1.1883580400664062,0.0351060739979702,-0.0584139397027967,-0.1792667799314021,UAL
2026-08-25,-0.0104235198856099,-0.0852430551646302,0.0239049041328082,-0.0169848648475934,-2.8554051956205373,-0.0175180293626235,-0.0157804145151641,-0.0091292269707046,-0.0752865506916037,-0.1922503428395288,WMT
